,Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0,0 days 01:03:56.965000,VER,1,0 days 00:01:32.190000,1,1,,,,38.769,33.004,,0 days 01:03:24.128000,0 days 01:03:57.112000,284,293,213,304,false,MEDIUM,1,true,Red Bull Racing,0 days 01:02:24.519000,2023-11-26 13:03:25.644,1,1,false,,false,false,92.19,
1,1,0 days 01:05:27.675000,VER,1,0 days 00:01:30.710000,2,1,,,18.377,38.691,33.642,0 days 01:04:15.424000,0 days 01:04:54.115000,0 days 01:05:27.757000,281,285,212,294,true,MEDIUM,2,true,Red Bull Racing,0 days 01:03:56.965000,2023-11-26 13:04:58.090,1,1,false,,false,true,90.71,90.71
2,2,0 days 01:06:58.083000,VER,1,0 days 00:01:30.408000,3,1,,,18.549,38.725,33.134,0 days 01:05:46.306000,0 days 01:06:25.031000,0 days 01:06:58.165000,280,293,211,299,true,MEDIUM,3,true,Red Bull Racing,0 days 01:05:27.675000,2023-11-26 13:06:28.800,1,1,false,,false,true,90.408,90.408
3,3,0 days 01:08:28.799000,VER,1,0 days 00:01:30.716000,4,1,,,18.562,38.81,33.344,0 days 01:07:16.727000,0 days 01:07:55.537000,0 days 01:08:28.881000,,291,212,293,false,MEDIUM,4,true,Red Bull Racing,0 days 01:06:58.083000,2023-11-26 13:07:59.208,1,1,false,,false,true,90.716,90.716
4,4,0 days 01:09:59.351000,VER,1,0 days 00:01:30.552000,5,1,,,18.599,38.714,33.239,0 days 01:08:47.480000,0 days 01:09:26.194000,0 days 01:09:59.433000,,293,209,291,false,MEDIUM,5,true,Red Bull Racing,0 days 01:08:28.799000,2023-11-26 13:09:29.924,1,1,false,,false,true,90.552,90.552
5,5,0 days 01:11:29.791000,VER,1,0 days 00:01:30.440000,6,1,,,18.445,38.767,33.228,0 days 01:10:17.878000,0 days 01:10:56.645000,0 days 01:11:29.873000,281,294,212,291,false,MEDIUM,6,true,Red Bull Racing,0 days 01:09:59.351000,2023-11-26 13:11:00.476,1,1,false,,false,true,90.44,90.44
6,6,0 days 01:13:00.320000,VER,1,0 days 00:01:30.529000,7,1,,,18.491,38.692,33.346,0 days 01:11:48.364000,0 days 01:12:27.056000,0 days 01:13:00.402000,,294,210,294,false,MEDIUM,7,true,Red Bull Racing,0 days 01:11:29.791000,2023-11-26 13:12:30.916,1,1,false,,false,true,90.529,90.529
7,7,0 days 01:14:30.836000,VER,1,0 days 00:01:30.516000,8,1,,,18.368,38.719,33.429,0 days 01:13:18.770000,0 days 01:13:57.489000,0 days 01:14:30.918000,282,293,209,294,false,MEDIUM,8,true,Red Bull Racing,0 days 01:13:00.320000,2023-11-26 13:14:01.445,1,1,false,,false,true,90.516,90.516
8,8,0 days 01:16:01.468000,VER,1,0 days 00:01:30.632000,9,1,,,18.439,38.862,33.331,0 days 01:14:49.357000,0 days 01:15:28.219000,0 days 01:16:01.550000,,293,210,295,false,MEDIUM,9,true,Red Bull Racing,0 days 01:14:30.836000,2023-11-26 13:15:31.961,1,1,false,,false,true,90.632,90.632
9,9,0 days 01:17:31.974000,VER,1,0 days 00:01:30.506000,10,1,,,18.414,38.75,33.342,0 days 01:16:19.964000,0 days 01:16:58.714000,0 days 01:17:32.056000,,292,210,295,false,MEDIUM,10,true,Red Bull Racing,0 days 01:16:01.468000,2023-11-26 13:17:02.593,1,1,false,,false,true,90.506,90.506
10,10,0 days 01:19:02.535000,VER,1,0 days 00:01:30.561000,11,1,,,18.432,38.836,33.293,0 days 01:17:50.488000,0 days 01:18:29.324000,0 days 01:19:02.617000,,294,210,294,false,MEDIUM,11,true,Red Bull Racing,0 days 01:17:31.974000,2023-11-26 13:18:33.099,1,1,false,,false,true,90.561,90.561
11,11,0 days 01:20:33.125000,VER,1,0 days 00:01:30.590000,12,1,,,18.433,38.875,33.282,0 days 01:19:21.050000,0 days 01:19:59.925000,0 days 01:20:33.207000,281,294,210,296,false,MEDIUM,12,true,Red Bull Racing,0 days 01:19:02.535000,2023-11-26 13:20:03.660,1,1,false,,false,true,90.59,90.59
12,12,0 days 01:22:03.686000,VER,1,0 days 00:01:30.561000,13,1,,,18.427,38.811,33.323,0 days 01:20:51.634000,0 days 01:21:30.445000,0 days 01:22:03.768000,,297,210,296,false,MEDIUM,13,true,Red Bull Racing,0 days 01:20:33.125000,2023-11-26 13:21:34.250,1,1,false,,false,true,90.561,90.561
13,13,0 days 01:23:34.333000,VER,1,0 days 00:01:30.647000,14,1,,,18.412,38.79,33.445,0 days 01:22:22.180000,0 days 01:23:00.970000,0 days 01:23:34.415000,,295,211,297,false,MEDIUM,14,true,Red Bull Racing,0 days 01:22:03.686000,2023-11-26 13:23:04.811,1,1,false,,false,true,90.647,90.647
14,14,0 days 01:25:04.600000,VER,1,0 days 00:01:30.267000,15,1,,,18.168,38.814,33.285,0 days 01:23:52.583000,0 days 01:24:31.397000,0 days 01:25:04.682000,282,295,209,298,true,MEDIUM,15,true,Red Bull Racing,0 days 01:23:34.333000,2023-11-26 13:24:35.458,1,1,false,,false,true,90.267,90.267
15,15,0 days 01:26:37.158000,VER,1,0 days 00:01:32.558000,16,1,,0 days 01:26:36.112000,18.117,39.027,35.414,0 days 01:25:22.799000,0 days 01:26:01.826000,0 days 01:26:37.240000,283,295,,297,false,MEDIUM,16,true,Red Bull Racing,0 days 01:25:04.600000,2023-11-26 13:26:05.725,1,1,false,,false,false,92.558,92.558
16,16,0 days 01:28:27.346000,VER,1,0 days 00:01:50.188000,17,2,0 days 01:26:57.721000,,38.181,38.775,33.232,0 days 01:27:15.421000,0 days 01:27:54.196000,0 days 01:28:27.428000,283,289,211,292,false,HARD,1,true,Red Bull Racing,0 days 01:26:37.158000,2023-11-26 13:27:38.283,1,7,false,,false,false,110.188,110.188
