LapNumber,Stint,Compound,TyreLife,Team,LapTime_in_seconds,Race,FuelLoad
1.0,1.0,0,1.0,0,92.198,2022,57.0
2.0,1.0,0,2.0,0,90.541,2022,56.0
3.0,1.0,0,3.0,0,89.968,2022,55.0
4.0,1.0,0,4.0,0,90.368,2022,54.0
5.0,1.0,0,5.0,0,90.502,2022,53.0
6.0,1.0,0,6.0,0,90.567,2022,52.0
7.0,1.0,0,7.0,0,90.661,2022,51.0
8.0,1.0,0,8.0,0,90.691,2022,50.0
9.0,1.0,0,9.0,0,90.601,2022,49.0
10.0,1.0,0,10.0,0,90.621,2022,48.0
11.0,1.0,0,11.0,0,90.798,2022,47.0
12.0,1.0,0,12.0,0,90.921,2022,46.0
13.0,1.0,0,13.0,0,90.747,2022,45.0
14.0,1.0,0,14.0,0,90.966,2022,44.0
15.0,1.0,0,15.0,0,91.023,2022,43.0
16.0,1.0,0,16.0,0,91.245,2022,42.0
17.0,1.0,0,17.0,0,91.592,2022,41.0
18.0,1.0,0,18.0,0,91.598,2022,40.0
19.0,1.0,0,19.0,0,91.882,2022,39.0
20.0,1.0,0,20.0,0,94.033,2022,38.0
22.0,2.0,1,2.0,0,90.66,2022,36.0
23.0,2.0,1,3.0,0,90.671,2022,35.0
24.0,2.0,1,4.0,0,90.955,2022,34.0
25.0,2.0,1,5.0,0,90.803,2022,33.0
26.0,2.0,1,6.0,0,90.892,2022,32.0
27.0,2.0,1,7.0,0,90.61,2022,31.0
28.0,2.0,1,8.0,0,90.443,2022,30.0
29.0,2.0,1,9.0,0,90.271,2022,29.0
30.0,2.0,1,10.0,0,89.936,2022,28.0
31.0,2.0,1,11.0,0,90.063,2022,27.0
32.0,2.0,1,12.0,0,89.924,2022,26.0
33.0,2.0,1,13.0,0,89.808,2022,25.0
34.0,2.0,1,14.0,0,89.891,2022,24.0
35.0,2.0,1,15.0,0,90.109,2022,23.0
36.0,2.0,1,16.0,0,89.886,2022,22.0
37.0,2.0,1,17.0,0,90.116,2022,21.0
38.0,2.0,1,18.0,0,90.16,2022,20.0
39.0,2.0,1,19.0,0,90.027,2022,19.0
40.0,2.0,1,20.0,0,90.019,2022,18.0
41.0,2.0,1,21.0,0,90.048,2022,17.0
42.0,2.0,1,22.0,0,89.885,2022,16.0
43.0,2.0,1,23.0,0,89.897,2022,15.0
44.0,2.0,1,24.0,0,89.883,2022,14.0
45.0,2.0,1,25.0,0,89.929,2022,13.0
46.0,2.0,1,26.0,0,89.725,2022,12.0
