,Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0,0 days 00:58:27.597000,VER,1,0 days 00:01:39.510000,1,1,,,,39.931,34.944,,0 days 00:57:52.858000,0 days 00:58:27.693000,290,302,208,289,false,MEDIUM,1,true,Red Bull Racing,0 days 00:56:47.817000,2024-12-08 13:03:35.034,12,11,false,,false,false,99.51,
1,1,0 days 01:00:22.535000,VER,1,0 days 00:01:54.938000,2,1,,,18.209,54.569,42.16,0 days 00:58:45.842000,0 days 00:59:40.411000,0 days 01:00:22.571000,291,239,191,320,true,MEDIUM,2,true,Red Bull Racing,0 days 00:58:27.597000,2024-12-08 13:05:14.814,126,11,false,,false,false,114.938,114.938
2,2,0 days 01:02:00.586000,VER,1,0 days 00:01:38.051000,3,1,,,23.196,41.997,32.858,0 days 01:00:45.767000,0 days 01:01:27.764000,0 days 01:02:00.622000,239,303,211,321,true,MEDIUM,3,true,Red Bull Racing,0 days 01:00:22.535000,2024-12-08 13:07:09.752,671,10,false,,false,false,98.051,98.051
3,3,0 days 01:03:30.090000,VER,1,0 days 00:01:29.504000,4,1,,,18.166,38.187,33.151,0 days 01:02:18.788000,0 days 01:02:56.975000,0 days 01:03:30.126000,286,303,207,312,true,MEDIUM,4,true,Red Bull Racing,0 days 01:02:00.586000,2024-12-08 13:08:47.803,1,10,false,,false,true,89.504,89.50399999999999
4,4,0 days 01:04:59.903000,VER,1,0 days 00:01:29.813000,5,1,,,18.056,37.945,33.812,0 days 01:03:48.182000,0 days 01:04:26.127000,0 days 01:04:59.939000,288,306,207,319,false,MEDIUM,5,true,Red Bull Racing,0 days 01:03:30.090000,2024-12-08 13:10:17.307,1,10,false,,false,true,89.813,89.813
5,5,0 days 01:06:29.315000,VER,1,0 days 00:01:29.412000,6,1,,,18.012,38.101,33.299,0 days 01:05:17.951000,0 days 01:05:56.052000,0 days 01:06:29.351000,290,327,209,322,true,MEDIUM,6,true,Red Bull Racing,0 days 01:04:59.903000,2024-12-08 13:11:47.120,1,9,false,,false,true,89.412,89.412
6,6,0 days 01:07:59.200000,VER,1,0 days 00:01:29.885000,7,1,,,18.085,38.58,33.22,0 days 01:06:47.436000,0 days 01:07:26.016000,0 days 01:07:59.236000,284,299,208,308,false,MEDIUM,7,true,Red Bull Racing,0 days 01:06:29.315000,2024-12-08 13:13:16.532,1,9,false,,false,true,89.885,89.88499999999999
7,7,0 days 01:09:29.024000,VER,1,0 days 00:01:29.824000,8,1,,,18.021,37.966,33.837,0 days 01:08:17.257000,0 days 01:08:55.223000,0 days 01:09:29.060000,289,317,205,329,false,MEDIUM,8,true,Red Bull Racing,0 days 01:07:59.200000,2024-12-08 13:14:46.417,1,9,false,,false,true,89.824,89.82400000000001
8,8,0 days 01:10:58.469000,VER,1,0 days 00:01:29.445000,9,1,,,18.085,38.121,33.239,0 days 01:09:47.145000,0 days 01:10:25.266000,0 days 01:10:58.505000,288,323,208,326,false,MEDIUM,9,true,Red Bull Racing,0 days 01:09:29.024000,2024-12-08 13:16:16.241,1,8,true,TRACK LIMITS AT TURN 1 LAP 9 ,false,true,89.445,89.445
9,9,0 days 01:12:28.918000,VER,1,0 days 00:01:30.449000,10,1,,,18.135,38.811,33.503,0 days 01:11:16.640000,0 days 01:11:55.451000,0 days 01:12:28.954000,282,298,207,306,false,MEDIUM,10,true,Red Bull Racing,0 days 01:10:58.469000,2024-12-08 13:17:45.686,1,8,false,,false,true,90.449,90.449
